month,year,newPositiveCases,
1,2020,2,
1,2021,6112572,
2,2020,16,
2,2021,2374243,
3,2020,196947,
3,2021,405300,
4,2020,876279,
5,2020,718205,
6,2020,831597,
7,2020,1900180,
8,2020,1457213,
9,2020,1192663,
10,2020,1892015,
11,2020,4475991,
12,2020,6323266,
